input,output
0,0.118125671
1,0.361462867
1,0.541211439
1,0.642701721
0,0.395770061
0,0.21276887
1,0.409361203
0,0.265275955
1,0.444757048
1,0.584802338
1,0.664885932
0,0.406939919
0,0.21836935
0,0.112164553
0,0.056678252
0,0.028458321
0,0.014253
0,0.007131268
1,0.303566587
1,0.511783484
1,0.62789178
1,0.688345898
0,0.41905295
0,0.224502476
0,0.115246438
0,0.058222259
1,0.329230937
0,0.22463943
0,0.124324507
1,0.364563212
0,0.242761798
0,0.133476937
1,0.369157676
1,0.54506268
0,0.344628108
0,0.186733408
1,0.396250575
0,0.258702061
0,0.141466386
0,0.073156264
1,0.337062746
0,0.228628296
1,0.426333533
0,0.275570643
0,0.150266097
1,0.377629204
0,0.249313833
0,0.136756763
1,0.370798351
0,0.245883169
1,0.435038383
0,0.279938551
1,0.452453148
0,0.288723348
0,0.156861029
1,0.380930385
0,0.250965167
1,0.437582578
0,0.281211288
1,0.453089644
1,0.589041622
1,0.667020171
1,0.708009957
0,0.428904953
1,0.529432471
1,0.627712235
1,0.686455317
1,0.717747499
1,0.733777717
0,0.441869652
0,0.235930985
0,0.120964724
0,0.061082208
0,0.030661073
0,0.015354531
1,0.307682064
1,0.513841992
0,0.328921188
0,0.178860632
0,0.092310324
1,0.346731163
1,0.533480782
0,0.338763431
0,0.183786324
0,0.094774083
1,0.347963226
0,0.23409685
1,0.429071472
0,0.276940346
1,0.450951095
0,0.287971732
0,0.156485103
1,0.380742399
0,0.250871169
1,0.437535578
0,0.281187788
1,0.453077894
1,0.589035747
1,0.667017233
1,0.708008489
0,0.428904219
0,0.229432104
0,0.117712051
0,0.059455225
1,0.329847453
0,0.224947694
0,0.124478641
1,0.364640279
1,0.542800331
1,0.643496204
1,0.69616731
0,0.422967496
1,0.526460516
0,0.326225612
0,0.175711877
0,0.090375752
0,0.045691839
0,0.022946712
1,0.311493515
1,0.515750789
1,0.629876201
1,0.689338262
0,0.419549163
0,0.224750588
0,0.115370495
1,0.358284288
1,0.539261952
0,0.341654938
1,0.485232261
0,0.305497089
0,0.165324736
1,0.385177606
1,0.553091851
1,0.648646535
1,0.698743389
0,0.424255719
0,0.227104664
1,0.416547693
0,0.268872919
0,0.146556274
0,0.0757021
1,0.338335842
0,0.22926488
0,0.126651832
0,0.065729794
0,0.033345673
1,0.316768992
1,0.518403727
1,0.63120571
1,0.690003624
0,0.419881966
1,0.524917014
0,0.325453713
1,0.475325898
1,0.600182757
1,0.67259534
1,0.710798462
1,0.73029939
0,0.440129727
0,0.23506087
1,0.420529636
0,0.270864658
0,0.147552297
0,0.076200142
0,0.03858487
1,0.319389395
1,0.519714089
0,0.331860923
1,0.480331237
0,0.303045774
1,0.464098918
1,0.594564665
0,0.369785374
1,0.499393295
0,0.312596769
0,0.168878409
1,0.386955209
0,0.253980806
1,0.439091043
1,0.58196565
0,0.36346685
1,0.49623023
1,0.611014476
0,0.37808711
